Iteration 1, loss = 2.78915265
Iteration 2, loss = 1.91578142
Iteration 3, loss = 1.47550745
Iteration 4, loss = 1.26257628
Iteration 5, loss = 1.14460726
Iteration 6, loss = 1.06720546
Iteration 7, loss = 1.01400104
Iteration 8, loss = 0.97546371
Iteration 9, loss = 0.93950672
Iteration 10, loss = 0.91105361
Iteration 11, loss = 0.88481369
Iteration 12, loss = 0.86060114
Iteration 13, loss = 0.83795866
Iteration 14, loss = 0.82044140
Iteration 15, loss = 0.79839557
Iteration 16, loss = 0.78201053
Iteration 17, loss = 0.76429969
Iteration 18, loss = 0.74992536
Iteration 19, loss = 0.73365365
Iteration 20, loss = 0.71811653
Iteration 21, loss = 0.70631389
Iteration 22, loss = 0.69558428
Iteration 23, loss = 0.68064187
Iteration 24, loss = 0.67061141
Iteration 25, loss = 0.65921816
Iteration 26, loss = 0.64869077
Iteration 27, loss = 0.63622623
Iteration 28, loss = 0.62557341
Iteration 29, loss = 0.61810316
Iteration 30, loss = 0.60703805
Iteration 31, loss = 0.59913703
Iteration 32, loss = 0.59133016
Iteration 33, loss = 0.58506057
Iteration 34, loss = 0.57627023
Iteration 35, loss = 0.56705200
Iteration 36, loss = 0.56174776
Iteration 37, loss = 0.55431616
Iteration 38, loss = 0.54773228
Iteration 39, loss = 0.54036101
Iteration 40, loss = 0.53312582
Iteration 41, loss = 0.52819961
Iteration 42, loss = 0.52238645
Iteration 43, loss = 0.51434220
Iteration 44, loss = 0.50894810
Iteration 45, loss = 0.50543347
Iteration 46, loss = 0.49650485
Iteration 47, loss = 0.49217380
Iteration 48, loss = 0.48609988
Iteration 49, loss = 0.48241527
Iteration 50, loss = 0.47889299
Iteration 51, loss = 0.47367537
Iteration 52, loss = 0.46892315
Iteration 53, loss = 0.46356401
Iteration 54, loss = 0.45788014
Iteration 55, loss = 0.45149424
Iteration 56, loss = 0.44836208
Iteration 57, loss = 0.44058112
Iteration 58, loss = 0.44122481
Iteration 59, loss = 0.43758750
Iteration 60, loss = 0.43207614
Iteration 61, loss = 0.42732299
Iteration 62, loss = 0.42484398
Iteration 63, loss = 0.42069830
Iteration 64, loss = 0.41588607
Iteration 65, loss = 0.40996946
Iteration 66, loss = 0.40899873
Iteration 67, loss = 0.40625325
Iteration 68, loss = 0.40180586
Iteration 69, loss = 0.39434222
Iteration 70, loss = 0.39382783
Iteration 71, loss = 0.39045150
Iteration 72, loss = 0.38533671
Iteration 73, loss = 0.38510595
Iteration 74, loss = 0.37794959
Iteration 75, loss = 0.37587788
Iteration 76, loss = 0.37318834
Iteration 77, loss = 0.37570268
Iteration 78, loss = 0.36693087
Iteration 79, loss = 0.36442254
Iteration 80, loss = 0.36121608
Iteration 81, loss = 0.35900787
Iteration 82, loss = 0.35430673
Iteration 83, loss = 0.35375948
Iteration 84, loss = 0.35150755
Iteration 85, loss = 0.34818057
Iteration 86, loss = 0.34348957
Iteration 87, loss = 0.34209331
Iteration 88, loss = 0.34006161
Iteration 89, loss = 0.33705228
Iteration 90, loss = 0.33526488
Iteration 91, loss = 0.33337910
Iteration 92, loss = 0.32784090
Iteration 93, loss = 0.32903685
Iteration 94, loss = 0.32460229
Iteration 95, loss = 0.32234989
Iteration 96, loss = 0.32009952
Iteration 97, loss = 0.31834349
Iteration 98, loss = 0.31627485
Iteration 99, loss = 0.31321004
Iteration 100, loss = 0.31182440
Iteration 101, loss = 0.31114912
Iteration 102, loss = 0.30802019
Iteration 103, loss = 0.30353290
Iteration 104, loss = 0.30307779
Iteration 105, loss = 0.30008222
Iteration 106, loss = 0.29892641
Iteration 107, loss = 0.29911734
Iteration 108, loss = 0.29460909
Iteration 109, loss = 0.29693096
Iteration 110, loss = 0.29067903
Iteration 111, loss = 0.28926801
Iteration 112, loss = 0.28864920
Iteration 113, loss = 0.28865167
Iteration 114, loss = 0.28467536
Iteration 115, loss = 0.28272063
Iteration 116, loss = 0.27962887
Iteration 117, loss = 0.28103250
Iteration 118, loss = 0.27907622
Iteration 119, loss = 0.27847536
Iteration 120, loss = 0.27451213
Iteration 121, loss = 0.27288577
Iteration 122, loss = 0.27282173
Iteration 123, loss = 0.27067004
Iteration 124, loss = 0.26848001
Iteration 125, loss = 0.26516758
Iteration 126, loss = 0.26421777
Iteration 127, loss = 0.26538286
Iteration 128, loss = 0.26094984
Iteration 129, loss = 0.26223242
Iteration 130, loss = 0.25913965
Iteration 131, loss = 0.25764135
Iteration 132, loss = 0.25893977
Iteration 133, loss = 0.25412371
Iteration 134, loss = 0.25229852
Iteration 135, loss = 0.25195360
Iteration 136, loss = 0.24675315
Iteration 137, loss = 0.25009149
Iteration 138, loss = 0.24850146
Iteration 139, loss = 0.24715695
Iteration 140, loss = 0.24651098
Iteration 141, loss = 0.24328219
Iteration 142, loss = 0.24552638
Iteration 143, loss = 0.24493878
Iteration 144, loss = 0.24081466
Iteration 145, loss = 0.24159926
Iteration 146, loss = 0.23729593
Iteration 147, loss = 0.23499640
Iteration 148, loss = 0.23470338
Iteration 149, loss = 0.23491672
Iteration 150, loss = 0.23419849
Iteration 151, loss = 0.23125900
Iteration 152, loss = 0.23044371
Iteration 153, loss = 0.22787510
Iteration 154, loss = 0.22406501
Iteration 155, loss = 0.22644228
Iteration 156, loss = 0.22539605
Iteration 157, loss = 0.22557382
Iteration 158, loss = 0.22266498
Iteration 159, loss = 0.22435389
Iteration 160, loss = 0.22294501
Iteration 161, loss = 0.22155984
Iteration 162, loss = 0.22064296
Iteration 163, loss = 0.21742824
Iteration 164, loss = 0.21776902
Iteration 165, loss = 0.21685642
Iteration 166, loss = 0.21208840
Iteration 167, loss = 0.21376644
Iteration 168, loss = 0.21336794
Iteration 169, loss = 0.20855272
